No,Name,Address,Class,District,Longitude,Latitude,Pop,Envi_Fact
1,RSK Bedah dan Penyakit Dalam BIMC,"Jl. By Pass Ngurah Rai No.100 X, Kuta - Badung",,Badung,115.2055221,-8.677749542,4.751959,0.476117
2,Rumkit Tk IV Dr. Bratanata Unang Jambi,"Jl. Raden Mattaher 33,Jambi",4,,103.6185346,-1.591743008,3.346735,0.861326
3,RSAB Sari Asih,Jl. Imam Bonjol Karawaci No 38 TNG,B,Kota Tangerang,106.626283,-6.179226039,6.780755,0.252343
4,RSU Dr Adjidarmo,Jl. Iko Jatmika 1 Rangkasbitung,B,Lebak,106.2831106,-6.369179285,0.069562,0.633958
5,RS Usada Insani,Jl. KH.HASYIM ASHARI NO.24 Tangerang,B,Kota Tangerang,106.6477491,-6.1839839,0.629374,0.150169
6,RSIA Budiasih,Jl. KH Sohari No.39 Serang,C,Serang,106.1401251,-6.136240305,1.235242,0.233347
7,RSIA Keluarga Ibu,"Jl.Benua Indah No.58,Pabuaran Tumpeng - Tangerang",C,Kota Tangerang,106.614725,-6.166040478,6.143889,0.589203
8,RSK Bedah Bakti Rahayu,Jl. Ahmad Yani Ambon,D,Kota Ambon,128.162604,-3.706895297,4.602977,0
9,RSIA Anugerah Medical Center,"Jl. Kunang 15 Kauman, Metro",C,Lampung Barat,105.33,-5.09999873,0.801821,0.065434
10,RSIA Panti Secanti,"Jl. Raya Gisting,Tanggamus",Umum,Tanggamus,104.7031619,-5.459669821,0.426163,0.573868
11,RSK Ginjal NY RA Habibie,Jl. Tubagus Ismail 46 Bandung,,Kota Bandung,107.619628,-6.885364823,10.492226,0.744544
12,RS Puri Cinere,"Jl. Maribaya No.1 Puri Cinere,Depok",B,Bogor,106.7819993,-6.321850387,5.333867,0.103918
13,RSUD Gunung Jati,Jl. Kesambi No.56 Cirebon,B,Kota Cirebon,108.5558877,-6.731182486,7.111844,0.317441
14,RS Pelabuhan Cirebon,Jl. Sisingamangaraja No.45 Cirebon,C,Kota Cirebon,108.5672985,-6.713448641,4.113298,0
15,RSB Putera Bahagia,Jl. Ciremai Raya Cirebon,C,Kota Cirebon,108.5666653,-6.716668112,4.113298,0
16,RS KCK Pindad,Jl. Jend Gatot Subroto Bandung,D,Kota Bandung,107.631351,-6.925456601,10.858767,0.857574
17,RSB Muhammadiyah Kodya Cirebon,Jl. Dr. W.Sudirohusodo Cirebon,D,Kota Cirebon,108.5666653,-6.716668112,4.113298,0
18,RSK Bedah Budi Asta,Jl. Kalitanjung No.51 Cirebon,D,Kota Cirebon,108.5350012,-6.747716833,5.312845,0.325355
19,RS Budi Luhur,Kebon Pelok Harjamukti Cirebon,D,Kota Cirebon,108.5310772,-6.763033845,3.858137,0.389211
20,RS Jiwa Dr. Radjiman Wediodiningrat,Jl. Jen. A.Yani Lawang,A,Malang,112.6761461,-7.839826485,0.661947,0.388334
21,RS Mata Undaan,Jl. Undaan Kulon 19 Surabaya,B,Kota Surabaya,112.7430014,-7.254440158,5.444534,0.077541
22,RS PHC,Jl. Prapat Kurung selatan no 1,B,Kota Surabaya,112.742502,-7.265275774,4.637082,0.087826
23,RSK Anak & P.Dalam Banyuwangi,Jl. Basuki Rachmat Banyuwangi,C,Banyuwangi,114.3750591,-8.198561165,0.661994,0.532972
24,RSU An-Nisaa,"Jl. Suparyono Timur No.1,Bajang Talun-Blitar",D,Kota Blitar,112.2882578,-8.090084614,0.810471,0.132521
25,RS Mardi Waluyo,"Jl. Raya Kalianget No.1, Kab Sumenep",RSU,Sumenep,113.9403815,-7.054886468,0.249067,0.583398
26,RS Kanker Dharmais,Jl. S Parman Kav.84-86 Slipi Jakarta Barat,,Jakarta Barat,106.7977533,-6.186967039,9.772527,0.013795
27,RSPI Prof.Dr. Sulianti S.,Jl. Sunter Permai Raya Jakarta Utara,,Jakarta Utara,106.8620045,-6.130389965,7.497571,0.285781
28,RS Jantung & Pembuluh Darah H K,Jl. S. Parman Kav 87 Jakbar,A,Jakarta Barat,106.7900881,-6.171966623,8.136782,0.281434
29,RS KO Jakarta,"Jl. Lanpangan Tembak no 75 kel cibubur No.76,Jaktim",B,,106.8720018,-6.346990798,7.993821,0.150872
30,RSB Yayasan Restu,Jl. Raya Bogor Jakarta Timur,C,Jakarta Timur,106.8657189,-6.307014957,7.401686,0.032954
31,RSIA Evasari,Jl. Rawamangun No. 47 Jakpus,Khusu,Kota Jakarta Selatan,106.8600023,-6.193731495,8.394411,0.167171
32,RSU Purwogondo,"Jl. Puring Km.8, Kuwarasan Kebumen",,Kebumen,109.6607102,-7.671210038,1.098716,0.907316
33,RS Khusus Bedah Karima Utama,"Jl. Amarta 8-10 Kartasura Ds.Ngabean Kartasura, Sukoharjo",,Sukoharjo,109.7932436,-7.400448963,0.092286,0.684634
34,RSIA &quot;Dian Pertiwi&quot;,"Jl. Lawu Papahan, Tasikmadu Karanganyar",,Karanganyar,110.9750258,-7.605705844,1.040846,0.345616
35,RSO Prof Dr. R.Soeharso,Jl. A Yani Pabelan Surakarta,,Surakarta,110.7740006,-7.557552011,2.852813,0.326975
36,RSK Bedah Orthopedi,JL Suparjo Rustam No. 99 Sokaraja Kab. Banyumas,,Banyumas,109.2840589,-7.454413004,1.306976,0.929969
37,RSK Bedah Jatiwinangun,"Jl. Jatiwinangun No.54, Purwokerto",,Purwokerto,109.2445691,-7.416978851,1.849326,0.872977
38,RSK Anak Wijayakusuma,"Jl. Gelatik No.1,Kebumen",,Kebumen,109.6607102,-7.671210038,1.098716,0.907316
39,RSU Dr. H.Soewondo Kendal,"Jl. Laut No. 21,Kendal",B,Kendal,110.1966719,-6.920663067,1.974783,0.356484
40,RSUD Pekalongan,"Jl. Veteran 31,Pekalongan",B,Pekalongan,109.6699985,-6.882885563,3.210116,0.291657
41,RSU Banjarnegara,Jl. Jen Sudirman No.42 Banjarnegara,C,Banjarnegara,109.6154548,-7.402584873,0.746798,0.841199
42,RSUD Banyudono,Jl. Raya Solo - Boyolali KM.10 Kuwiran Kec.Banyudono Kab.Boyolali,D,Boyolali,110.6884081,-7.43156457,0.506114,0.494346
43,RSIA Sarila Husada,"Jl. Veteran No. 41-43,Sragen",Khusu,Sragen,111.023951,-7.42953122,1.617369,0.372501
44,RSK P.Dalam Husada Tama,Jl. Wiratama 4 Yogyakarta,,Yogyakarta,110.3530748,-7.792466373,5.103868,0.383281
45,RSK Anak Empat Lima,Jl. Patangpuluhan No.35 Yogyakarta,,Yogyakarta,110.3475589,-7.807448953,2.295003,0.382461
46,RSU Permata Husada,jl.pleret-kotagede km-4,D,Bantul,110.3300213,-7.885550108,1.517081,0.043619
47,RSK Anak Permata Hati,"Jl. Bunga Raya No.3A/3B,Batam",,Tanjung Pinang,103.9849702,0.091026091,0,0.790442
48,RSU lapangan Minake,Minake Kecamatan Tandukkalua - Mamasa,-,Mamasa,119.3778762,-2.941450469,1.386748,0.870776
49,RS Stroke Nasional Bukittinggi,"Jl. Jend Sudirman,Bukittinggi",B,Bukittinggi,100.3746902,-0.315820291,0.651376,0.850323
50,RS Jiwa Puti Bungsu,"Jl. H.Agus Salim No.36,Padang",D,Kota Padang,100.3691253,-0.945628183,3.718423,0.844876
51,RS PT Semen Padang,"Komp.PT Semen Indarung,Padang",D,Kota Padang,100.4690002,-0.95606248,2.990905,0.862991
52,RS Jantung Sumbar,"Jl. Khatib Sulaiman No.71,Padang",D,Padang,100.3585661,-0.915020913,3.783091,0.830107
53,RS Sehat,"Jl. Letda Sujono No.20 E Bandar selamat,Medan",,Kota Medan,98.67559882,3.585242102,4.472114,0.391668
54,RS Vita Insani,"Jl. Merdeka No.239, Pematang Siantar",C,Kota Pematang Siantar,99.07092934,2.96168141,3.859827,0.890877
55,RSK Peny.Dalam Sylviani,Jl. Tg Malakosa Palu,,Palu,119.8505989,-0.898584667,1.782229,0.513874
56,Rumkit TK.IV Singkawang,Jl. Perwira No.W 15 Singkawang,D,Sambas,109.3099974,1.361327879,1.454161,0.910552
57,RS Bersalin Jeumpa,-,D,Pontianak,109.3303087,-0.022522919,1.695888,0.832529
58,Rumkit Tk IV Lahat,"Jl. Mayor Ruslan I No.26,Lahat",D,Lahat,103.4237031,-3.747473116,0,0.882812
59,RSUD Simeulue,Kab.Simeulue,C,Simeulue,96.0255729,2.64397046,0,0.868004
60,RSU Prima Cipta,Jl. P Serangan 9X Denpasar Bali,,,115.2238222,-8.721711819,0.235634,0
61,RSU Bhakti Rahayu,"Jl. Batukaru No.2 Br.Tuakilang, Tabanan",,Bali,115.1199609,-8.545037776,1.059578,0.254653
62,RS Parama Sidhi,"Jl. Ahmad Yani No.177 A Baktiseraga, Singaraja",,Bali,115.0709999,-8.122689561,0.096935,0.645563
63,RSU Dharma Sentana,Jl. Ngurah Rai 151 Negara,,Jembrana,114.6024911,-8.314988294,0.016678,0.019523
64,RS Dharma Kerti Tabanan,Jl. Teratai 16 Tabanan,,Tabanan,115.118088,0.540971076,1.171769,0.304667
65,RS Kertha Usadha,Jl. Cendrawasih No.5 Singaraja,,Buleleng,115.1528021,-8.674784239,0.094768,0.571608
66,RS Kertha Usada II,Jl. Cendrawasih No. 5 Singaraja,,Buleleng,115.1528021,-8.674784239,0.094768,0.571608
67,RSU Dharma Usadha,Jl. P.B. Sudirman 50 Denpasar,,Denpasar,115.21774,-8.670632816,4.771596,0.446893
68,RSU Manuaba,Jl. Cokroaminoto 28 Denpasar,,Denpasar,115.2093213,-8.644181429,4.889413,0.208157
69,RSU Kasih Ibu,"Jl. Teuku Umar 120,Denpasar",,Denpasar,115.2055221,-8.677749542,4.751959,0.476117
70,RSU Puri Raharja,Jl. WR Supratman 14-19 Denpasar,,Denpasar,115.2264754,-8.649367363,0.443778,0.017466
71,RSU Sari Dharma,Jl. Pulau Seram No.8 Denpasar,,Denpasar,115.2139498,-8.670953872,4.771596,0.446893
72,RSU Bhakti Rahayu,Jl. Gatot Subroto II /11 Denpasar,,Denpasar,115.2209996,-8.637341168,4.339599,0.249149
73,RS Graha Asih,Jl. IG Ngurah Rai 33 Kuta Bali,,Denpasar,115.1790038,-8.731958833,2.274433,0.520101
74,RS Balimed,"Jl.Mahendradatta No.57,Denpasar Bali",,Denpasar,115.1916543,-8.656907703,4.987594,0.328349
75,RSU Premagana,"Jl. Hyang Sangsi No.2 Komp.Perumahan Chandra Ayu Br. Tubuh,Batubulan,Sukawati - More ...",-,-,115.29379,-8.608129597,0.378146,0.396735
76,Rumkit Tk.III Udayana Denpasar,Jl. P.B Sudirman No.1 Denpasar,3,Denpasar,115.2186764,-8.663467041,4.319963,0.287315
77,Rumkit Tk.IV Singaraja,Jl. Ngurah Rai No. 70 Singaraja,4,Buleleng,115.0906021,-8.125458663,1.259496,0.300749
78,RSUP Sanglah Denpasar,Jl. Diponegoro Denpasar,A,Denpasar,115.2131026,-8.676162102,4.771596,0.476117
79,RSUD Wangaya,Jl. Kartini No.133 Denpasar,B,Kota Denpasar,115.2134013,-8.648957126,4.889413,0.204906
80,RSUD Kab. Buleleng,Jl. Ngurah Rai 30 Singaraja,B,Buleleng,115.092368,-8.119911541,1.490294,0.364977
81,RSUD Sanjiwani Gianyar,Jl. Ciung Wenara No.2 Gianyar,B,Gianyar,115.322734,-8.537965642,2.016779,0.272527
82,RSU Tabanan,Jl. Pahlawan No. 14 Tabanan,B,Tabanan,115.1318845,-8.539281077,1.315123,0.199388
83,RSU Amlapura,Jl. Ngurah Rai - Amlapura,C,Karang Asem,115.6064978,-8.457251454,0.771572,0.475384
84,RS Karya Dharma Husada,Jl. Yudistra No. 7 Singaraja,C,Buleleng,115.0483254,-8.146683984,0.494566,0.634541
85,RSU Surya Husadha,"Jl. Pulau Serangan No.7, Denpasar",C,Denpasar,115.2289547,-8.727597832,1.001446,0
86,RSU Negara,Jl. Wijaya Kusuma 17 Negara,C,Jembrana,114.621799,-8.354134742,0.885216,0.470188
87,RSU Klungkung,Jl. Flamboyan No. 40 Klungkung,C,Klungkung,115.3950963,-8.538567621,1.159822,0.039164
88,RSU Bangli,Jl. Kusuma Yudha No. 27 Bangli,C,Bangli,115.3526457,-8.454268315,0.784853,0.187601
89,RSU Dr GelGel,Jl. Mawar No. 76 Tabanan,D,Tabanan,115.1243486,-8.546843712,1.059578,0.206575
90,RSUD Badung,"Jl. Raya Kapal Mengwi, Badung",D,Badung,115.1800294,-8.572282884,1.194077,0.288335
91,RSU. Dharma Yadnya,"Jl. WR.Supratman 256,Denpasar",D,Denpasar,115.2511342,-8.642067815,0.377015,0.357005
92,RSU Shanti Graha,"Desa Sulanyah, Kecamatan Seririt, Singaraja",D,,114.9611188,8.191377553,0.415436,0
93,RS Efarina Etaham,"Jl. Lintas Timur No.1, Pangkalan Kerinci - Riau",,Riau,101.6615645,0.262409179,0,0.923028
94,RS PT Chevron Pasific Indonesia,Jl. Komplek Merapi Duri Camp.PT Chevron Pasific Indonesia,,riau,101.4470951,0.516404034,2.257187,0.793443
95,Rumkit Bhayangkara Dumai,"Jl. Hang Tuah No.1 Dumai, Bengkalis",,Bengkalis,102.250906,1.466544827,0,0.777953
96,RS Eka Hospital Pekanbaru,"Jl. Soekarno- Hatta Km.6,5, Pekanbaru",,riau,101.4189448,0.482260697,2.310929,0.756413
97,RS PTPN V Kbn Sri Rokan,Pos Ujung Batu Tandan Kampar,,Kampar,101.4410486,0.508292929,3.023018,0.801009
98,RS Tandun,Komplek PTPN V Tandun Kampar,,Kampar,100.6068712,0.627431191,0.307373,0.985283
99,RS Ibnu Sina Bangkinang,"Jl. Prof.M. Yamin,SH No.16A Bangkinang",,Kampar,101.4365003,0.525629914,2.982711,0.829461
100,RS PT Caltex Rumbai,Rumbai Pekanbaru,,Pekanbaru,101.4264941,0.629063222,0.940494,0.971989
101,RS Santa Maria Pekanaru,"Jl. A.Yani 68,Pekanbaru",,Pekanbaru,101.4431488,0.528051206,3.063325,0.793659
102,RS Yayasan Abdurrab,"Jl. Jen.Sudirman 410,Pekanbaru",,Pekanbaru,101.4523301,0.504623089,2.700563,0.790225
103,RS Nusalima,"Jl. Ronggowarsito No.40,Pekanbaru",,Pekanbaru,101.4613375,0.512707439,2.337801,0.769112
104,RS Lancang Kuning,"Jl. Ronggowarsito Ujung No.5A,Pekanbaru",,Pekanbaru,101.4645882,0.512961608,2.337801,0.769112
105,RSU Pekanbaru Medical Center,"Jl. Lenbaga Pemasyarakatan No.25, Gobah Pekanbaru",,Pekanbaru,101.4585015,0.514183402,2.337801,0.768728
106,RS Putri Tujuh Dumai,"Jl. Yos Sudarso No.1,Dumai",,Dumai,101.4702066,1.677192761,0.272193,0.766535
107,RS Tk IV Pekanbaru,"Jl. Kesehatan No. 2,Pekanbaru",4,Pekanbaru,101.449998,0.533330781,2.606513,0.792274
108,RS Kepolisian Pekanbaru,"Jl. Kartini No.14,Pekanbaru",4,Pekanbaru,101.4488698,0.520056038,2.257187,0.793659
109,RS Bhayangkara Pekanbaru,"Simpang Tiga,Pekanbaru",4,Pekanbaru,101.449619,0.515721791,2.257187,0.793443
110,"RSUD Arifin Achmad,Pekanbaru","Jl. Diponegoro No. 2, Pekanbaru",B,,101.4525352,0.52064018,2.257187,0.769723
111,RS Awal Bros Pekanbaru,"Jl. Sudirman No.117,Pekanbaru",B,Pekanbaru,101.4557993,0.497105045,2.727434,0.789376
112,RSUD Siak,"Jl. Raja Kecik No.1 Kampung dalam,Siak Sri Indrapura",C,Siak,102.0697997,0.783254477,0,0.092952
113,RSUD.Dr. R.M. Pratomo Bagansiapiapi,"Jl. Pahlawan No.13,Bagansiapiapi",C,Bengkalis,102.250906,1.466544827,0,0.777953
114,RSU Puri Husada Tembilahan,"Jl. Veteran 52,Hilir Tembilahan",C,Indragiri Hilir,103.1691955,-0.347105344,0.081606,0.625545
115,RS Bina Kasih,"Jl. Samanhudi No.3-5,Pekanbaru",C,Pekanbaru,101.449998,0.533330781,2.606513,0.792274
116,RSU Bangkinang,"Jl. A Rahman Saleh,Bangkinang",C,Kampar,101.1189008,0.346164474,0.110334,0.979711
117,RS Pertamina Dumai,"Jl. Raya Bukit Datuk,Dumai",C,,101.447599,1.66574179,2.640435,0.763203
118,RSUD Petala Bumi,"Jl. Dr. Soetomo No.65, Pekanbaru",C,,101.4559999,0.528849385,2.606513,0.793615
119,RSUD Teluk Kuantan,Jl. Kesehatan No. 1 Sinambak,C,Kuantan Singingi,101.564579,-0.531417827,1.236572,0.818823
120,RSU Indrasari Rengat,Jl. Lintas Timur Sumatera Rengat,C,Indragiri Hulu,102.4417377,-0.394032924,0.532942,0.953617
121,RSUD Selasih Riau,Kabupaten Pelalawan Propinsi Riau,C,Pelalawan,101.8452795,0.402942208,0.525711,0.951545
122,RSUD Kab.Rokan Hulu,"Jl. Syekh Ismail, Pasir Pengarayan",C,Rokan Hulu,100.288469,0.874447553,1.959503,0.981589
123,RSU Dumai,"Jl. Tanjung Jati No.4,Dumai",C,Dumai,101.4551661,1.674499464,3.732467,0.772543
124,RSUD Kec.Mandau,"Jl. Stadion No.10 Duri,Bengkalis",D,Bengkalis,101.2130949,1.259620243,0.316228,0.793175
125,RSU Bengkalis,"Jl. Kelapapati Tengah No.90, Bengkalis",D,Bengkalis,102.250906,1.466544827,0,0.777953
126,RSUD Selat Panjang,"Jl. Dorak - Selatpanjang 28753,Bengkalis",D,Bengkalis,102.7418263,1.004662222,0,0.606528
127,RS Islam Ibnu Sina,"Jl. Melati No.60,Pekanbaru",c,,101.4365003,0.525629914,2.982711,0.829461
128,RS Asia Medika Jambi,"Jl. Soekarno - Hatta Palmerah,Jambi",,Jambi,102.438059,-1.48518387,0.318918,0.966854
129,RS PTP VIII Kayu Aro,Kayu Aro Sei Penuh Kab.Kerinci,,Kerinci,101.305648,-1.912512901,0.113882,0.741855
130,RS Pertamina Bajubang,Lapangan Jambi Bajubang,,Sarolangun Bangko,103.6185971,-1.587600503,1.186184,0.967604
131,Rumkit Bhayangkara Jambi,"Jl. Raden Mathaher No.3,Jambi",4,Jambi,103.6185346,-1.591743008,3.346735,0.861326
132,RSU Raden Mattaher Jambi,"Jl. Letjen Suprapto 31,Jambi",B,,103.5837135,-1.613927035,1.966318,0.075258
133,RSU May.H.A. Thalib/Sungai Penuh,Jl. Basuki Rahmat,C,Kerinci,101.3678301,-2.070418587,0.139334,0.693088
134,RSUD Hamadjid Batoe BT Hari/ Muara Bulian,"Jl. Dr. Sri Sudewi,Muara Bulian",C,Batang Hari,102.9973417,-1.890810456,0.021004,0.985121
135,RSUD H. Hanafi/Muara Bungo,"Jl. Teuku Umar 88,Muaro Bungo",C,Bungo,101.9606186,-1.509428002,0,0.981219
136,RSU KH. Daud Arif,"Jl. Syarif Hidayatullah,Kuala Tungkal",C,Tanjung Jabung Barat,103.0624178,-1.132839082,0,0.935804
137,RSUD Sultan Taha Saifudin,"Jl. Lintas Tebo-Bungo Km 4,Jambi",C,Tebo,102.2762204,-1.484037881,0.080465,0.973913
138,RSUD Kolonel Abundjani/Bangko,Lapangan Jambi Bajubang,C,Sarolangun Bangko,102.2762739,-2.069013971,1.228663,0.974578
139,RSUD Prof.DR.H.M.Chatib Quzwain,"Jl. Lintas Sumatera Km.09 Desa Bukit,Sarolangun",C,Sarolangun Bangko,102.6847186,-2.344408052,0,0.098201
140,RSUD Muaro Jambi,Jl. Lintas Timur,C,Muaro Jambi,103.8216244,-1.703126893,0,0.963098
141,RSUD Nurdin Hamzah,"Jl. Keramas Muara,Sabak Barat",C,Tanjung Jabung Timur,104.0075689,-1.136459872,0,0.932741
142,RS Budhi Graha,"Jl. Dr. Setia Budi 5,Jambi",D,,102.438059,-1.48518387,0.318918,0.966854
143,RS Santa Theresia,"Jl. Dr. Sutomo No.19,Jambi",D,Jambi,102.438059,-1.48518387,0.318918,0.966854
144,RSUD Sungai Bahar,Ds. Suka Makmur Kecamatan Sungai Bahar,D,jambi,103.550132,-1.858227805,0.103946,0.960761
145,RS Mayang Medical Centre,"Jl. Ir.H. Juanda No.56 Simp III Sipin, Jambi",D,Jambi,103.5509703,-1.63042125,1.767087,0.967843
146,RSUD H. Abdul Manap Kota Jambi,Jl. SK.Rd.Syahbuddin Kec.Kota Baru Jambi,D,Jambi,103.625473,-1.650010081,3.092552,0.080674
147,RS Mitra Masy.Timika,"Jl.SP2-SP5 Timika, Mimika",,Mimika,136.8883335,-4.531387541,1.201983,0.977249
148,RS Efata Angguruk,Angguruk Kab Jayawijaya,,Puncak Jaya,137.184721,-4.083609072,0,0.859206
149,RS Immanuel,Kec Mulia Kab Puncak Jaya,,Puncak Jaya,137.184721,-4.083609072,0,0.859206
150,RSU Merauke,Jl. SukarjowirjopraNo.to Merauke,C,Merauke,140.3944979,-8.495992124,2.478184,0.419608
151,RSU Oksibil,jl. Poros Kabiding No. 2 Oksibil,D,ASMAT,140.6358022,-5.080178025,0,0.957107
152,RSU Wamena,Jl. Trikora Wamena,D,Merauke,138.9516621,-4.098333024,0.579605,0.755636
153,RSUD Paniai,"Jl. Raya Madi KM.7,Paniai Timur",D,Paniai,139.3653151,-4.35450392,0,0.863616
154,RSU Serui,Jl. Dr Sam Ratulangi Serui,D,Pemkab Yapen Waropen,136.2366626,-1.878012836,0.605126,0.923604
155,RSUD Kab. Mimika,Jl. Yos Sudarso Kab. Mimika,D,Mimika,139.3653151,-4.35450392,0,0.863616
156,RS Bergerak Kab.Boven Digoel,,D,Boven Digoel,140.2833325,-6.083333071,0,0.974912
157,RSUD Kab.Keerom,"Jl. Bhayangkara,Kp. Asyaman,Distrik Arso,Kab.Keerom",D,Keerom,139.3653151,-4.35450392,0,0.863616
158,RSUD Mulia,"Jl. Papua, Pruleme, Distrik Mulia Kabupaten Puncak Jaya",D,,137.184721,-4.083609072,0,0.859206
159,RSUD Supiori,Jl. Raya Korido Marsram Supiori Timur - Supiori,D,,135.5000013,-0.749998502,0,0.842049
160,RS Mitra Husada,Tangerang Banten,,Tangerang,106.6501125,-6.080786925,2.735163,0.233814
161,RSIA Ichsan Medical Center,"Jl.Raya Jombang No.56,Bintaro Jaya,Tangerang",,Tangerang,106.7400748,-6.312058201,4.723204,0.093495
162,RS Medika BSD,"Jl. Letnan Soetopo Kav Kom. III A No.7, BSD Tangerang",,Kota Tangerang,106.6782628,-6.318590784,4.824779,0.001052
163,RS Antam Emas Cikotok,Cikotok Kec Cibeber Kab Lebak,,Lebak,106.3111494,-6.828413184,0.013912,0.894089
164,RSU Bhineka Bakti Husada,"Jl. Cabe Raya No.17 Pondok Cabe,Pamulang Tangerang",,Tangerang,106.7663389,-6.293628736,6.628948,0.151068
165,RS Omni Internasional,"Jl. Alam Sutera Boulevard Kav.25,Tangerang",,Tangerang,106.6510221,-6.24460092,5.884922,0.445793
166,RS Aminah,"Jl. Hos Cokroaminoto No.4 A, Kreo Selatan",,Tangerang,106.7450021,-6.238037123,6.894271,0.272294
167,RS Siloam Gleneagles,Jl. Siloam Lippo Karawaci Tangerang,,Kota Tangerang,106.5974237,-6.225248421,4.174517,0.113836
168,RS Internasional Bintaro,"Jl. MH Thamrin No.1 Sektor 7 Bintaro Jaya,Tangerang",,Kota Tangerang,106.7236653,-6.276140142,0.391061,0.086065
169,RS Eka,"Jl. Raya Serpong Km.8,Kab.Tangerang",,Kota Tangerang,106.6699376,-6.298988576,4.164546,0.264122
170,RSU Mulya,"Jl. Jl.K.H. Hasyim Ashari No.18,Tangerang",,Kota Tangerang,106.6876135,-6.222020032,4.945081,0.484058
171,RS Bhakti Asih,"Jl. Raden saleh No.10 Karang Tengah, Tangerang",,Kota Tangerang,106.7057665,-6.221146048,5.694336,0.558272
172,RS Hermina Tangerang,"Jl. KS, Tubun No.10 Kel. Pasar Baru Kec. Karawaci Kota Tangerang",0,,106.6302159,-6.203764473,7.342697,0.138387
173,Rumkit Tk.IV Kencana Serang,Jl. A Yani 23 Serang,4,Serang,106.1594954,-6.118386065,3.524074,0.124551
174,RS DIM 0506 Tangerang,Jl. Daan Mogot 59 Tangerang,4,Kota Tangerang,106.6591332,-6.163467576,5.581948,0.017118
175,RSU Tangerang,Jl. A Yani No. 9 Tangerang,B,Kota Tangerang,106.6354688,-6.17004475,6.068963,0.104618
176,RSU Kota Cilegon,Jl. Kapten P.Tendean Km.3 Cilegon,B,,106.0668799,-6.002556456,1.461052,0.023698
177,RS Krakatau Medika,Jl. Semang Raya Cilegon,B,Cilegon,106.0331914,-5.990552556,1.383161,0.208461
178,RS Q a d r,Komp Islamic Village Curug Tangerang,C,Tangerang,106.6164685,-6.227295149,3.530962,0.203814
179,RS Islam Asshobirin,Jl. Raya Serpong Km11 Tangerang,C,Tangerang,106.6782628,-6.318590784,4.824779,0.001052
180,RSU Melati,"Jl. Merdeka No. 92,Tangerang",C,Kota Tangerang,106.620941,-6.180724297,6.630904,0.703925
181,RSUD As Sholihin,"Jl. Surya Kencana No.1, Kec.Pamulang, Tangerang Selatan",C,Kota Tangerang Selatan,106.7404048,-6.316887407,4.215333,0.085097
182,RSUD Malingping,"Jl. Raya Saketi Km.1, Malingping Kab.Lebak",C,Lima Puluh Kota,105.9826207,-6.719744892,0.250421,0.895299
183,RSU Pandeglang,Jln.Raya Labuan KM 5 Cikoneng,C,Pandeglang,108.2819071,-7.317750475,0.924971,0.961927
184,RS SELARAS,Jl. Raya Lapan Rumpin Suradita,D,Tangerang,106.5197685,-6.228891507,3.187596,0.119666
185,RS Islam Sari Asih Ar-rahmah,Jl. K.S Tubun No.44 Koang Jaya,D,Kota Tangerang,106.629177,-6.163735122,6.668367,0.378198
186,RS Misi Lebak,Jl. Multatuli No.41 Rangkas Bitung,D,Lebak,106.2831106,-6.369179285,0.069562,0.633958
187,RS Mayapada,Jl. Honoris Raya Kav.6 Tangerang,C+,Kota Tangerang,106.6417962,-6.203091148,8.541504,0.143874
188,RS Hati Kudus Langgur,Langgur Kab.Maluku Tenggara,,Maluku Tenggara,132.7166616,-5.666665751,0.010627,0.925519
189,RS Hative,Tantui Ambon,,Ambon,128.166421,-3.656070463,0.836905,0.980958
190,RS GPM Ambon,Jl. Anthonie Rhebok Ambon,,Ambon,128.166421,-3.656070463,0.836905,0.980958
191,RS Al Fatah,Jl.Sultan Babullah 2 Ambon,,Ambon,128.1751118,-3.70107617,4.514881,0
192,Rumkit Tk.III JA. Latumeten,"Jl. Dr Tamaela No.2,Ambon",3,Ambon,128.166421,-3.656070463,0.836905,0.980958
193,RS AL Ambon,Daeral 9 Halong Ambon,4,Ambon,128.2177185,-3.626404064,4.294643,0.972659
194,RS Lanu Patimura,Lanu Pattimura Ambon,4,Ambon,128.0888817,-3.70499572,1.409524,0
195,RSU Dr M Haulussy Ambon,Jl. Dr Kayadoe Ambon,B,Ambon,128.162604,-3.706895297,4.602977,0
196,RSU Tual,Jl. Merdeka Ohoijang Tual,C,Maluku Tenggara,132.6622383,-5.637717267,0,0.857257
197,RS Bergerak Kab.Maluku Tenggara Barat,Jln. Ir. Soekarno,D,,130.145272,-3.238462272,0,0.730387
198,RSUD Namrole,Jl. Kamboja - Namrole,D,Buru Selatan,122.4988679,-4.00663161,2.507227,0.701716
199,RS Fatima Saumlaki,Jl.Komplek Misi Saumlaki Maluku Tenggara Barat,D,Maluku Tenggara,130.145272,-3.238462272,0,0.730387
200,RS St Yusuph Elat,Kei Besar Kab Maluku Tenggara,D,Maluku Tenggara,130.145272,-3.238462272,0,0.730387
201,RSU Piru,jln. Arteri Piru,D,Seram Bagian Barat,130.145272,-3.238462272,0,0.730387
202,RSU Namlea,Jl. Anggrek Namlea Buru Utara,D,Maluku Tengah,127.0859006,-3.233396733,0.543674,0.060079
203,RSUD Cendrawasih Dobo,"Jl. Depnaker Km.6,Kepulauan Aru",D,Kepulauan Aru,134.4999988,-6.000001391,0,0.873353
